year,month,project,downloads
2021,12,plotly,7707810
2021,12,polars,54363
2021,12,pymc3,261183
2021,12,pyspark,15367170
2021,12,pytorch,45960
2021,12,scikit-learn,23775938
2021,12,scipy,30936298
2021,12,scrapy,829724
2021,12,seaborn,6381570
2021,12,selenium,7789051
2021,12,streamlit,641779
2021,12,tensorflow,14951839
2021,12,torch,6246364
2021,12,xgboost,8669064
2022,1,altair,4341302
2022,1,beautifulsoup,521712
2022,1,bokeh,2422226
2022,1,dash,958074
2022,1,django,7145762
2022,1,flask,45276240
2022,1,keras,7360623
2022,1,lightgbm,11276795
2022,1,matplotlib,27282326
2022,1,numpy,93544085
2022,1,pandas,75761486
2022,1,plotly,6773482
2022,1,polars,55753
2022,1,pymc3,300997
2022,1,pyspark,16794349
2022,1,pytorch,44527
2022,1,scikit-learn,25716608
2022,1,scipy,34267479
2022,1,scrapy,698990
2022,1,seaborn,6004771
2022,1,selenium,8459137
2022,1,streamlit,819471
2022,1,tensorflow,15886200
2022,1,torch,5950910
2022,1,xgboost,8447996
2022,2,altair,4975446
2022,2,beautifulsoup,530073
2022,2,bokeh,3752342
2022,2,dash,800840
2022,2,django,7114131
2022,2,flask,39070384
2022,2,keras,8385075
2022,2,lightgbm,5294706
2022,2,matplotlib,22598820
2022,2,numpy,92061041
2022,2,pandas,70359763
2022,2,plotly,6778479
2022,2,polars,57102
2022,2,pymc3,284879
2022,2,pyspark,16878103
2022,2,pytorch,43260
2022,2,scikit-learn,25198486
2022,2,scipy,33881861
2022,2,scrapy,672859
2022,2,seaborn,6861142
2022,2,selenium,9760188
2022,2,streamlit,797565
2022,2,tensorflow,14837906
2022,2,torch,6469865
2022,2,xgboost,7529347
2022,3,altair,6090388
2022,3,beautifulsoup,677767
2022,3,bokeh,5185620
2022,3,dash,974866
2022,3,django,8082044
2022,3,flask,49736793
2022,3,keras,9236138
2022,3,lightgbm,6994975
2022,3,matplotlib,26232721
2022,3,numpy,109236564
2022,3,pandas,84984997
2022,3,plotly,7886518
2022,3,polars,75512
2022,3,pymc3,338026
2022,3,pyspark,19681796
2022,3,pytorch,53169
2022,3,scikit-learn,32038020
2022,3,scipy,40698419
2022,3,scrapy,828295
2022,3,seaborn,8129253
2022,3,selenium,13394395
2022,3,streamlit,1026406
2022,3,tensorflow,16116993
2022,3,torch,8117637
2022,3,xgboost,8250707
2022,4,altair,6403092
2022,4,beautifulsoup,502248
2022,4,bokeh,4713893
2022,4,dash,840729
2022,4,django,7334585
2022,4,flask,58781326
2022,4,keras,8713808
2022,4,lightgbm,7173108
2022,4,matplotlib,26393672
2022,4,numpy,108251445
2022,4,pandas,83453672
2022,4,plotly,7169783
2022,4,polars,67683
2022,4,pymc3,357651
2022,4,pyspark,20032733
2022,4,pytorch,52974
2022,4,scikit-learn,32584425
2022,4,scipy,41457696
2022,4,scrapy,839507
2022,4,seaborn,8328132
2022,4,selenium,10537209
2022,4,streamlit,1009110
2022,4,tensorflow,14178608
2022,4,torch,7777921
2022,4,xgboost,7574092
2022,5,altair,8918074
2022,5,beautifulsoup,484019
2022,5,bokeh,2630330
2022,5,dash,888577
2022,5,django,7871407
2022,5,flask,71598296
2022,5,keras,11056170
2022,5,lightgbm,7493339
2022,5,matplotlib,29877705
